CompoundName,ModelID,EC50,LowerAsymptote,UpperAsymptote,Slope,MinimumDose,MaximumDose,DoseUnit
CIL55,ACH-000527,8.195143765424898,1.8342956022153863e-4,0.9918836348805024,-12.471272517795905,3e-4,10,uM
CIL55,ACH-000532,6.829544956841619,0,0.8483002350614861,-2.02648420723824,3e-4,10,uM
CIL55,ACH-000534,6.171419834316795,1.4823113759898867e-5,1.0099999999332958,-5.565710446462317,3e-4,10,uM
CIL55,ACH-000537,6.049577912312227,0.07922458598087909,1.0099999999842966,-4.480437257272074,3e-4,10,uM
CIL55,ACH-000542,21.438627229201167,0,0.9841452256214794,-1.9679277104943529,3e-4,10,uM
CIL55,ACH-000543,0.10675888588440523,0.8775013992685494,1.009999995933391,-23.122938315928955,3e-4,10,uM
CIL55,ACH-000546,4.915111286800644,0.7744135821745557,1.01,-19.888441427916156,3e-4,10,uM
CIL55,ACH-000548,7.057188438157267,0,1.01,-3.5135558886379763,3e-4,10,uM
CIL55,ACH-000549,10.89473858039813,0.0299375561747671,1.0088962881994363,-5.505230557760498,3e-4,10,uM
CIL55,ACH-000552,208.04128255506748,1.01,1.01,-0.13288436067010076,3e-4,10,uM
CIL55,ACH-000553,5.405916618661169,0.5853009355254133,0.9596113326198876,-17.91601733845938,3e-4,10,uM
CIL55,ACH-000562,0.006371560584139655,0.9112852742536296,1.0099999985514798,-25.482540160276223,3e-4,10,uM
CIL55,ACH-000563,4.96550820831132,0.02527479329235529,1.01,-5.1192407112709315,3e-4,10,uM
CIL55,ACH-000564,3.6518335654390506,0,1.01,-2.385274044277347,3e-4,10,uM
CIL55,ACH-000566,0.03512738361964513,0.5913882445072971,1.01,1e-5,3e-4,10,uM
CIL55,ACH-000572,3.9505691831840997,2.0513228821146954e-6,0.9904892748520138,-5.451014665942863,3e-4,5,uM
CIL55,ACH-000574,5.335962268732639,0.7015695586480353,1.0099999999976796,-10.010113841123548,3e-4,10,uM
CIL55,ACH-000576,8.389248626748637,0.5359012417428071,1.0099999982452013,-23.802306289946852,3e-4,10,uM
CIL55,ACH-000578,11.371053047788791,0,0.974763556651685,-2.427152705864183,3e-4,10,uM
CIL55,ACH-000595,5.658915132333613,0,0.9858488225420716,-4.761852549463038,3e-4,10,uM
CIL55,ACH-000599,8.282252458631113,0.27222046459887367,1.0099999993001902,-6.1838706974283175,3e-4,10,uM
