RADIATION_OER_ZONES lambda_um=30 rim_n=43608 transition_n=35840 deep_n=3071 rim_po2_mmhg=11.2299 transition_po2_mmhg=0.1498 deep_po2_mmhg=0.0001
RADIATION_OER_SWEEP lambda_um=80 dose_gy=5 overall=0.752203 normoxic=0.829114 transition=0.684738 hypoxic=0.447411 radiation_kills=62071 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=80 dose_gy=6 overall=0.827555 normoxic=0.896441 transition=0.768973 hypoxic=0.533051 radiation_kills=68289 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=80 dose_gy=8 overall=0.916310 normoxic=0.966153 transition=0.876869 hypoxic=0.668838 radiation_kills=75613 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=80 dose_gy=10 overall=0.959561 normoxic=0.991240 transition=0.937109 hypoxic=0.771736 radiation_kills=79182 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=80 dose_gy=12 overall=0.980174 normoxic=0.997799 transition=0.970033 hypoxic=0.848258 radiation_kills=80883 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=80 dose_gy=14 overall=0.988827 normoxic=0.999473 transition=0.984682 hypoxic=0.886031 radiation_kills=81597 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=80 dose_gy=16 overall=0.994583 normoxic=0.999977 transition=0.993136 hypoxic=0.934875 radiation_kills=82072 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=80 dose_gy=20 overall=0.998279 normoxic=1.000000 transition=0.998410 hypoxic=0.972322 radiation_kills=82377 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=80 dose_gy=24 overall=0.999709 normoxic=1.000000 transition=0.999805 hypoxic=0.994464 radiation_kills=82495 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=80 dose_gy=30 overall=0.999976 normoxic=1.000000 transition=1.000000 hypoxic=0.999349 radiation_kills=82517 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=80 dose_gy=40 overall=1.000000 normoxic=1.000000 transition=1.000000 hypoxic=1.000000 radiation_kills=82519 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=80 dose_gy=60 overall=1.000000 normoxic=1.000000 transition=1.000000 hypoxic=1.000000 radiation_kills=82519 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=120 dose_gy=0 overall=0.000000 normoxic=0.000000 transition=0.000000 hypoxic=0.000000 radiation_kills=0 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=120 dose_gy=0.5 overall=0.110993 normoxic=0.121835 transition=0.101758 hypoxic=0.064800 radiation_kills=9159 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=120 dose_gy=1 overall=0.218931 normoxic=0.237296 transition=0.203265 hypoxic=0.140996 radiation_kills=18066 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=120 dose_gy=1.5 overall=0.318775 normoxic=0.344822 transition=0.295759 hypoxic=0.217519 radiation_kills=26305 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=120 dose_gy=2 overall=0.411214 normoxic=0.440791 transition=0.385798 hypoxic=0.287854 radiation_kills=33933 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=120 dose_gy=2.5 overall=0.503084 normoxic=0.538043 transition=0.474051 hypoxic=0.345490 radiation_kills=41514 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=120 dose_gy=3 overall=0.576304 normoxic=0.612273 transition=0.548996 hypoxic=0.384240 radiation_kills=47556 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=120 dose_gy=4 overall=0.705474 normoxic=0.745116 transition=0.673158 hypoxic=0.519700 radiation_kills=58215 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=120 dose_gy=5 overall=0.799634 normoxic=0.838287 transition=0.769364 hypoxic=0.604038 radiation_kills=65985 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=120 dose_gy=6 overall=0.872393 normoxic=0.904238 transition=0.848075 hypoxic=0.704005 radiation_kills=71989 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=120 dose_gy=8 overall=0.948994 normoxic=0.969730 transition=0.936133 hypoxic=0.804624 radiation_kills=78310 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=120 dose_gy=10 overall=0.981301 normoxic=0.991699 transition=0.976339 hypoxic=0.891566 radiation_kills=80976 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=120 dose_gy=12 overall=0.993286 normoxic=0.998601 transition=0.990988 hypoxic=0.944643 radiation_kills=81965 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=120 dose_gy=14 overall=0.997770 normoxic=0.999748 transition=0.997210 hypoxic=0.976229 radiation_kills=82335 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=120 dose_gy=16 overall=0.999273 normoxic=0.999954 transition=0.999386 hypoxic=0.988277 radiation_kills=82459 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=120 dose_gy=20 overall=0.999952 normoxic=0.999977 transition=1.000000 hypoxic=0.999023 radiation_kills=82515 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=120 dose_gy=24 overall=0.999988 normoxic=1.000000 transition=1.000000 hypoxic=0.999674 radiation_kills=82518 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=120 dose_gy=30 overall=1.000000 normoxic=1.000000 transition=1.000000 hypoxic=1.000000 radiation_kills=82519 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=120 dose_gy=40 overall=1.000000 normoxic=1.000000 transition=1.000000 hypoxic=1.000000 radiation_kills=82519 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=120 dose_gy=60 overall=1.000000 normoxic=1.000000 transition=1.000000 hypoxic=1.000000 radiation_kills=82519 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=200 dose_gy=0 overall=0.000000 normoxic=0.000000 transition=0.000000 hypoxic=0.000000 radiation_kills=0 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=200 dose_gy=0.5 overall=0.118688 normoxic=0.122523 transition=0.115234 hypoxic=0.104526 radiation_kills=9794 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=200 dose_gy=1 overall=0.229583 normoxic=0.235851 transition=0.225670 hypoxic=0.186259 radiation_kills=18945 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=200 dose_gy=1.5 overall=0.338080 normoxic=0.348468 transition=0.329241 hypoxic=0.293715 radiation_kills=27898 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=200 dose_gy=2 overall=0.436166 normoxic=0.452921 transition=0.421401 hypoxic=0.370563 radiation_kills=35992 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=200 dose_gy=2.5 overall=0.524146 normoxic=0.537333 transition=0.514369 hypoxic=0.450993 radiation_kills=43252 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=200 dose_gy=3 overall=0.604406 normoxic=0.620689 transition=0.591769 hypoxic=0.520677 radiation_kills=49875 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=200 dose_gy=4 overall=0.734970 normoxic=0.751353 transition=0.721094 hypoxic=0.664279 radiation_kills=60649 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=200 dose_gy=5 overall=0.827676 normoxic=0.844340 transition=0.815402 hypoxic=0.734289 radiation_kills=68299 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=200 dose_gy=6 overall=0.895757 normoxic=0.906921 transition=0.888672 hypoxic=0.819928 radiation_kills=73917 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=200 dose_gy=8 overall=0.965523 normoxic=0.972551 transition=0.959961 hypoxic=0.930641 radiation_kills=79674 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=200 dose_gy=10 overall=0.990172 normoxic=0.992845 transition=0.988783 hypoxic=0.968414 radiation_kills=81708 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=200 dose_gy=12 overall=0.997588 normoxic=0.998441 transition=0.997098 hypoxic=0.991208 radiation_kills=82320 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=200 dose_gy=14 overall=0.999358 normoxic=0.999771 transition=0.999135 hypoxic=0.996092 radiation_kills=82466 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=200 dose_gy=16 overall=0.999891 normoxic=0.999977 transition=0.999833 hypoxic=0.999349 radiation_kills=82510 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=200 dose_gy=20 overall=1.000000 normoxic=1.000000 transition=1.000000 hypoxic=1.000000 radiation_kills=82519 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=200 dose_gy=24 overall=1.000000 normoxic=1.000000 transition=1.000000 hypoxic=1.000000 radiation_kills=82519 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=200 dose_gy=30 overall=1.000000 normoxic=1.000000 transition=1.000000 hypoxic=1.000000 radiation_kills=82519 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=200 dose_gy=40 overall=1.000000 normoxic=1.000000 transition=1.000000 hypoxic=1.000000 radiation_kills=82519 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=200 dose_gy=60 overall=1.000000 normoxic=1.000000 transition=1.000000 hypoxic=1.000000 radiation_kills=82519 total_tumor=82519
