# MeSH tree C04 (Neoplasms) descriptor -> tree number. One row per pair;
# a descriptor may sit at several nodes. Source: NLM MeSH SPARQL endpoint,
# https://id.nlm.nih.gov/mesh/sparql (inference on).
# Regenerate: python scripts/atlas_baseline.py --refresh-mesh
D008204	C04.557.450.795.480
D008207	C04.697.650.560
D008210	C04.182.430
D008223	C04.557.386
D008224	C04.557.386.480.350
D008228	C04.557.386.480
D008230	C04.557.386.480.150.600
D008230	C04.834.567
D008258	C04.557.595.925
D008303	C04.557.465.625.650.200.500
D008303	C04.557.470.200.025.200.500
D008303	C04.557.580.625.650.200.500
D008325	C04.588.531.500
D008325	C04.619.590
D008339	C04.588.149.721.450.583
D008415	C04.557.450.565.465
D008441	C04.588.149.721.450.601
D008444	C04.588.443.665.650.693.575
D008476	C04.182.444
D008479	C04.588.894.479
D008527	C04.557.465.625.600.380.515
D008527	C04.557.465.625.600.590.500
D008527	C04.557.470.670.380.515
D008527	C04.557.470.670.590.500
D008527	C04.557.580.625.600.380.515
D008527	C04.557.580.625.600.590.500
D008539	C04.588.322.455.531
D008545	C04.557.465.625.650.510
D008545	C04.557.580.625.650.510
D008545	C04.557.665.510
D008545	C04.588.805.377
D008546	C04.557.465.625.650.510.525
D008546	C04.557.580.625.650.510.525
D008546	C04.557.665.510.525
D008546	C04.619.600
D008577	C04.588.614.250.580
D008579	C04.557.580.520
D008579	C04.557.645.520
D008579	C04.588.614.250.580.500
D008637	C04.557.435.500
D008639	C04.182.473
D008649	C04.557.465.510
D008654	C04.557.470.035.510
D008654	C04.557.470.660.510
D008949	C04.557.435.090
D008949	C04.557.470.035.155
D009062	C04.588.443.591
D009078	C04.182.511
D009101	C04.557.595.500
D009157	C04.588.614.550.500
D009157	C04.730.856.490
D009182	C04.557.386.480.750.800.550
D009188	C04.588.614.550.550
D009188	C04.730.856.543
D009208	C04.557.435.585
D009214	C04.557.450.590.540
D009217	C04.557.450.590.550
D009217	C04.557.450.795.550
D009232	C04.557.450.565.550
D009236	C04.557.450.565.560
D009236	C04.557.450.795.560
D009303	C04.588.443.665.710.650
D009347	C04.588.322.609.145.500
D009360	C04.697.650.900
D009361	C04.697.645
D009362	C04.697.650
D009364	C04.697.655
D009365	C04.697.670
D009366	C04.697.650.830
D009369	C04
D009370	C04.557
D009371	C04.588
D009372	C04.557.450.565
D009373	C04.557.465
D009374	C04.619
D009375	C04.557.470
D009376	C04.626
D009377	C04.588.322.400
D009377	C04.651.600
D009377	C04.700.630
D009378	C04.651
D009379	C04.557.450.590
D009380	C04.557.580
D009381	C04.682
D009382	C04.697.650.895
D009383	C04.557.645
D009384	C04.588.322.490
D009384	C04.730.713
D009385	C04.697
D009386	C04.700
D009396	C04.557.435.595
D009396	C04.588.945.947.535.585
D009396	C04.700.900
D009423	C04.588.614
D009442	C04.557.465.625.650.595
D009442	C04.557.580.600.610.595
D009442	C04.557.580.625.650.595
D009447	C04.557.465.625.600.590.650.550
D009447	C04.557.470.670.590.650.550
D009447	C04.557.580.625.600.590.650.550
D009455	C04.557.580.600.580
D009456	C04.557.580.600.580.590.650
D009456	C04.700.631.650
D009463	C04.557.580.600.610
D009464	C04.557.465.625.650.595.610
D009464	C04.557.580.600.610.595.610
D009464	C04.557.580.625.650.595.610
D009464	C04.588.614.300.015
D009464	C04.588.614.596.240.015
D009506	C04.557.665.560
D009507	C04.557.665.560.615.585
D009508	C04.557.665.560.615
D009631	C04.182.089.530.660
D009669	C04.588.149.721.600
D009669	C04.588.443.665.650
D009807	C04.182.089.530.690
D009808	C04.557.695
D009810	C04.557.695.610
D009837	C04.557.465.625.600.380.590
D009837	C04.557.470.670.380.590
D009837	C04.557.580.625.600.380.590
D009918	C04.588.149.721.656
D009918	C04.588.364.659
D009959	C04.588.443.665.710.684
D010016	C04.557.450.565.575.625
D010017	C04.557.450.565.575.625.625
D010039	C04.588.443.665
D010048	C04.182.612
D010051	C04.588.322.455
D010144	C04.557.470.200.240.187.500
D010144	C04.557.470.615.275.625
D010145	C04.557.470.200.025.660
D010145	C04.557.470.615.660
D010157	C04.588.149.721.450.692
D010157	C04.588.443.591.692
D010178	C04.588.894.797.520.734
D010181	C04.182.640
D010190	C04.588.274.761
D010190	C04.588.322.475
D010192	C04.182.640.692
D010212	C04.557.470.700.600
D010235	C04.557.465.625.650.700
D010235	C04.557.580.625.650.700
D010236	C04.557.465.625.650.700.705
D010236	C04.557.580.625.650.700.705
D010255	C04.588.443.665.650.693
D010257	C04.730
D010282	C04.588.322.525
D010282	C04.588.443.680
D010307	C04.588.443.591.824.695
D010310	C04.182.668
D010386	C04.588.699
D010412	C04.588.945.440.715
D010509	C04.182.089.530.690.790
D010524	C04.588.614.596
D010534	C04.588.033.513
D010534	C04.588.274.780
D010580	C04.700.633
D010610	C04.588.443.665.710
D010673	C04.557.465.625.650.700.725
D010673	C04.557.580.625.650.700.725
D010864	C04.182.710
D010871	C04.557.465.625.600.657
D010871	C04.557.470.670.657
D010871	C04.557.580.625.600.657
D010871	C04.588.614.250.195.766
D010911	C04.588.322.609
D010911	C04.588.614.250.195.885.500.600
D010954	C04.557.595.600
D010997	C04.588.894.797.640
D011085	C04.182.612.765
D011087	C04.588.448.200.500
D011125	C04.557.470.035.215.100
D011125	C04.588.274.476.411.307.089
D011125	C04.700.100
D011151	C04.182.867.500
D011230	C04.834
D011252	C04.850
D011289	C04.834.770
D011471	C04.588.945.440.770
D011553	C04.557.470.200.025.075.500
D011553	C04.557.470.590.075.500
D011648	C04.557.470.200.025.715
D011842	C04.182.089.530.690.790.820
D011900	C04.182.766
D012004	C04.588.274.476.411.307.790
D012142	C04.588.894.797
D012175	C04.557.465.625.600.725
D012175	C04.557.470.670.725
D012175	C04.557.580.625.600.725
D012175	C04.588.364.818.760
D012186	C04.588.033.731
D012207	C04.557.450.590.540.700
D012208	C04.557.450.590.550.660
D012208	C04.557.450.795.550.660
D012468	C04.588.443.591.824
D012509	C04.557.450.795
D012510	C04.557.450.795.830.780
D012510	C04.619.857.656
D012511	C04.557.450.795.830.760
D012511	C04.619.857.573
D012512	C04.557.450.565.575.650.800
D012512	C04.557.450.795.620.800
D012513	C04.557.450.795.830
D012513	C04.619.857
D012514	C04.557.450.795.850
D012514	C04.557.645.750
D012515	C04.557.450.565.465.124
D012516	C04.557.450.565.575.650
D012516	C04.557.450.795.620
D012517	C04.557.450.795.830.850
D012517	C04.619.857.822
D012626	C04.588.805.578
D012707	C04.557.475.750.847.500
D012707	C04.588.322.762.500.500
D012707	C04.588.945.440.915.500.500
D012751	C04.557.386.480.750.800.775
D012811	C04.588.274.476.411.307.180.800
D012878	C04.588.805
D012888	C04.588.149.721
D012983	C04.588.839
D013005	C04.557.465.625.650.240.695
D013005	C04.557.470.200.025.370.695
D013005	C04.588.274.761.500.500
D013005	C04.588.322.475.500.500
D013120	C04.588.614.250.803
D013125	C04.588.149.828
D013160	C04.588.842
D013274	C04.588.274.476.767
D013330	C04.557.465.910.850
D013341	C04.557.645.375.850
D013362	C04.588.443.591.824.882
